Variabel,Provinsi,Status,Tanggal,Satuan,Nilai,Tipe,warna
6122 Transfer DBH-SDA Gas Bumi,aceh,Kotor,12/31/2016,Rupiah,1.50054E+11,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,aceh,Potongan,12/31/2016,Rupiah,26240217500,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,aceh,"Bersih\
",12/31/2016,Rupiah,1.23814E+11,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,dki jakarta,Kotor,12/31/2016,Rupiah,73275585331,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,dki jakarta,"Bersih\
",12/31/2016,Rupiah,73275585331,MIGAS,#ffeeth
6122 Transfer DBH-SDA Gas Bumi,jambi,Kotor,12/31/2016,Rupiah,5.79075E+11,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,jambi,"Bersih\
",12/31/2016,Rupiah,5.79075E+11,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,jawa barat,Kotor,12/31/2016,Rupiah,4.706E+11,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,jawa barat,"Bersih\
",12/31/2016,Rupiah,4.706E+11,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,jawa tengah,Kotor,12/31/2016,Rupiah,58718415019,MIGAS,#71ee45
6122 Transfer DBH-SDA Gas Bumi,jawa tengah,"Bersih\
",12/31/2016,Rupiah,58718415019,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,jawa timur,Kotor,12/31/2016,Rupiah,1.33653E+11,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,jawa timur,Potongan,12/31/2016,Rupiah,1260606750,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,jawa timur,"Bersih\
",12/31/2016,Rupiah,1.32392E+11,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,kalimantan tengah,Kotor,12/31/2016,Rupiah,5257225600,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,kalimantan tengah,"Bersih\
",12/31/2016,Rupiah,5257225600,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,kalimantan timur,Kotor,12/31/2016,Rupiah,2.12949E+12,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,kalimantan timur,"Bersih\
",12/31/2016,Rupiah,2.12949E+12,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,kalimantan utara,Kotor,12/31/2016,Rupiah,4.83902E+11,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,kalimantan utara,"Bersih\
",12/31/2016,Rupiah,4.83902E+11,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,kepulauan riau,Kotor,12/31/2016,Rupiah,1.20905E+12,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,kepulauan riau,"Bersih\
",12/31/2016,Rupiah,1.20905E+12,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,lampung,Kotor,12/31/2016,Rupiah,71746239792,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,lampung,"Bersih\
",12/31/2016,Rupiah,71746239792,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,nasional,Kotor,12/31/2016,Rupiah,9.73338E+12,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,nasional,Potongan,12/31/2016,Rupiah,2.47681E+11,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,nasional,"Bersih\
",12/31/2016,Rupiah,9.4857E+12,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,papua barat,Kotor,12/31/2016,Rupiah,1.59573E+12,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,papua barat,Potongan,12/31/2016,Rupiah,42212692537,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,papua barat,"Bersih\
",12/31/2016,Rupiah,1.55352E+12,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,riau,Kotor,12/31/2016,Rupiah,1.45293E+11,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,riau,"Bersih\
",12/31/2016,Rupiah,1.45293E+11,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,sulawesi selatan,Kotor,12/31/2016,Rupiah,72345799108,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,sulawesi selatan,Potongan,12/31/2016,Rupiah,21969607000,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,sulawesi selatan,"Bersih\
",12/31/2016,Rupiah,50376192108,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,sulawesi tengah,Kotor,12/31/2016,Rupiah,1.50075E+11,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,sulawesi tengah,Potongan,12/31/2016,Rupiah,17240367200,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,sulawesi tengah,"Bersih\
",12/31/2016,Rupiah,1.32834E+11,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,sumatera selatan,Kotor,12/31/2016,Rupiah,2.39325E+12,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,sumatera selatan,Potongan,12/31/2016,Rupiah,1.38757E+11,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,sumatera selatan,"Bersih\
",12/31/2016,Rupiah,2.25449E+12,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,sumatera utara,Kotor,12/31/2016,Rupiah,11872873988,MIGAS,#713333
6122 Transfer DBH-SDA Gas Bumi,sumatera utara,"Bersih\
",12/31/2016,Rupiah,11872873988,MIGAS,#713333
6121 Transfer DBH-SDA Minyak Bumi,aceh,Kotor,12/31/2016,Rupiah,1.91779E+11,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,aceh,Potongan,12/31/2016,Rupiah,55826602683,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,aceh,"Bersih\
",12/31/2016,Rupiah,1.35952E+11,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,bangka belitung,Kotor,12/31/2016,Rupiah,1783104800,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,bangka belitung,Potongan,12/31/2016,Rupiah,654479500,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,bangka belitung,"Bersih\
",12/31/2016,Rupiah,1128625300,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,dki jakarta,Kotor,12/31/2016,Rupiah,16264784800,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,dki jakarta,Potongan,12/31/2016,Rupiah,5969913000,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,dki jakarta,"Bersih\
",12/31/2016,Rupiah,10294871800,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jambi,Kotor,12/31/2016,Rupiah,2.81077E+11,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jambi,Potongan,12/31/2016,Rupiah,42735170236,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jambi,"Bersih\
",12/31/2016,Rupiah,2.38342E+11,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jawa barat,Kotor,12/31/2016,Rupiah,1.04635E+11,MINYAK,#FFEB3B
