Kode,Provinsi,Kabupaten,Jenjang,Baik,Rusak_Ringan,Rusak_Sedang,Rusak_Berat,Jumlah,pct_Baik,pct_Rusak_Ringan,pct_Rusak_Sedang,pct_Rusak_Berat,Rasio_siswa,Rasio_ruang_kelas,pct_anggaran_2016
1114,"Kab. Aceh Tamiang, Aceh",Kab,SD,461,650,56,55,1222, 37.7 , 53.2 , 4.6 , 4.5 ,194.11,7.14,11.1
1106,"Kab. Aceh Tengah, Aceh",Kab,SD,337,681,105,139,1262, 26.7 , 54.0 , 8.3 , 11.0 ,103.26,5.29,12
1104,"Kab. Aceh Tenggara, Aceh",Kab,SD,187,689,113,107,1096, 17.1 , 62.9 , 10.3 , 9.8 ,143.04,5.69,11.2
1105,"Kab. Aceh Timur, Aceh",Kab,SD,458,1103,157,251,1969, 23.3 , 56.0 , 8.0 , 12.7 ,162.23,6.27,9.5
1111,"Kab. Aceh Utara, Aceh",Kab,SD,538,1482,331,461,2812, 19.1 , 52.7 , 11.8 , 16.4 ,166.07,6.22,10.1
1117,"Kab. Bener Meriah, Aceh",Kab,SD,310,508,9,13,840, 36.9 , 60.5 , 1.1 , 1.5 ,113.06,6.31,13.6
1110,"Kab. Bireuen, Aceh",Kab,SD,351,974,171,260,1756, 20.0 , 55.5 , 9.7 , 14.8 ,138.64,6.86,10.8
1113,"Kab. Gayo Lues, Aceh",Kab,SD,130,404,45,35,614, 21.2 , 65.8 , 7.3 , 5.7 ,121.78,5.91,9.7
1109,"Kab. Pidie, Aceh",Kab,SD,478,966,209,246,1899, 25.2 , 50.9 , 11.0 , 13.0 ,130.19,6.68,12
1118,"Kab. Pidie Jaya, Aceh",Kab,SD,120,312,87,120,639, 18.8 , 48.8 , 13.6 , 18.8 ,129.51,6.39,8.7
1171,"Kota Banda Aceh, Aceh",Kota,SD,356,445,11,22,834, 42.7 , 53.4 , 1.3 , 2.6 ,263.77,9.06,16.5
1174,"Kota Lhokseumawe, Aceh",Kota,SD,264,334,15,25,638, 41.4 , 52.4 , 2.4 , 3.9 ,274.88,8.85,7.1
5103,"Kab. Badung, Bali",Kab,SD,1183,942,44,68,2237, 52.9 , 42.1 , 2.0 , 3.0 ,215.29,7.15,13.4
5106,"Kab. Bangli, Bali",Kab,SD,418,590,20,20,1048, 39.9 , 56.3 , 1.9 , 1.9 ,139.97,5.66,18.7
5108,"Kab. Buleleng, Bali",Kab,SD,1115,1693,128,73,3009, 37.1 , 56.3 , 4.3 , 2.4 ,143.08,5.9,22.8
5104,"Kab. Gianyar, Bali",Kab,SD,543,1282,57,48,1930, 28.1 , 66.4 , 3.0 , 2.5 ,161.86,6.21,13.9
5101,"Kab. Jembrana, Bali",Kab,SD,395,639,36,78,1148, 34.4 , 55.7 , 3.1 , 6.8 ,133.36,5.78,14.8
5107,"Kab. Karang Asem, Bali",Kab,SD,658,1575,120,95,2448, 26.9 , 64.3 , 4.9 , 3.9 ,125.31,6.38,23.9
5105,"Kab. Klungkung, Bali",Kab,SD,283,619,15,39,956, 29.6 , 64.7 , 1.6 , 4.1 ,127.13,6.86,14.3
5102,"Kab. Tabanan, Bali",Kab,SD,754,1236,75,41,2106, 35.8 , 58.7 , 3.6 , 1.9 ,112.9,6.13,21.8
5171,"Kota Denpasar, Bali",Kota,SD,1263,802,30,76,2171, 58.2 , 36.9 , 1.4 , 3.5 ,378.25,8.87,13.8
1901,"Kab. Bangka, Bangka Belitung",Kab,SD,610,726,68,66,1470, 41.5 , 49.4 , 4.6 , 4.5 ,201.64,7.99,14.6
1903,"Kab. Bangka Barat, Bangka Belitung",Kab,SD,468,545,27,33,1073, 43.6 , 50.8 , 2.5 , 3.1 ,180.27,7.96,16.1
