NO,KODE_KAB,Provinsi,namakab,Pemilih,KECAMATAN,KELURAHAN,TPS,LAKI-LAKI,PEREMPUAN
15,1813,Lampung,Pesisir Barat,112343,11,118,484,58849,53494
13,1872,Lampung,Kota Metro,114311,5,22,465,56728,57583
2,1811,Lampung,Mesuji,153674,7,105,601,79759,73915
3,1812,Lampung,Tulang Bawang Barat,196475,9,96,797,100613,95862
7,1801,Lampung,Lampung Barat,211793,15,136,966,110946,100847
8,1808,Lampung,Tulang Bawang,287115,15,151,1216,149041,138074
1,1810,Lampung,Pringsewu,295934,9,131,1416,152151,143783
14,1809,Lampung,Pesawaran,329655,11,144,1481,169316,160339
11,1807,Lampung,Way Kanan,339460,14,227,1518,173477,165983
6,1806,Lampung,Lampung Utara,441051,23,247,2081,223934,217117
9,1802,Lampung,Tanggamus,454242,20,302,1975,233391,220851
12,1871,Lampung,Kota Bandar Lampung,638174,20,126,2777,320595,317579
4,1803,Lampung,Lampung Selatan,759195,17,260,3095,386604,372591
10,1804,Lampung,Lampung Timur,790149,24,264,3440,401540,388609
5,1805,Lampung,Lampung Tengah,950566,28,311,3953,484806,465760
