KODE_KAB,INDUSTRI_KERAMIK,namakab
1102,4,abc123
1103,3,abc124
1106,1,abc125
1107,2,abc126
1108,4,abc127
1109,2,abc128
1110,5,abc129
1111,3,abc130
1114,11,abc131
1115,4,abc132
1116,1,abc133
1118,3,abc134
1171,2,abc135
1172,1,abc136
1173,4,abc137
1174,2,abc138
1175,3,abc139
1202,6,abc140
1203,2,abc141
1204,11,abc142
1205,1,abc143
1206,12,abc144
1207,20,abc145
1208,92,abc146
1209,45,abc147
1211,3,abc148
1212,321,abc149
1213,54,abc150
1214,3,abc151
1215,4,abc152
1218,47,abc153
1219,20,abc154
1220,9,abc155
1221,8,abc156
1222,20,abc157
1223,25,abc158
1224,2,abc159
1271,1,abc160
1272,14,abc161
1273,35,abc162
1274,13,abc163
1275,171,abc164
1276,14,abc165
1277,3,abc166
1278,1,abc167
1302,4,abc168
1303,3,abc169
1304,3,abc170
1305,12,abc171
1306,18,abc172
1307,5,abc173
1308,4,abc174
1309,3,abc175
1310,4,abc176
1311,12,abc177
1312,14,abc178
1371,48,abc179
1372,1,abc180
1373,2,abc181
1375,3,abc182
1376,16,abc183
1377,9,abc184
1401,20,abc185
1402,20,abc186
1403,21,abc187
1404,21,abc188
1405,18,abc189
1406,47,abc190
1407,26,abc191
1408,10,abc192
1409,29,abc193
1410,4,abc194
1471,22,abc195
1473,12,abc196
1501,4,abc197
1502,7,abc198
1503,11,abc199
1504,12,abc200
1505,36,abc201
1506,2,abc202
1507,18,abc203
1508,6,abc204
1509,16,abc205
1571,44,abc206
1572,2,abc207
1601,8,abc208
1602,12,abc209
1603,14,abc210
1604,8,abc211
1605,14,abc212
1606,9,abc213
1607,30,abc214
1608,1,abc215
1609,8,abc216
1610,22,abc217
1612,1,abc218
1613,4,abc219
1671,66,abc220
1672,3,abc221
1673,3,abc222
1674,10,abc223
1701,1,abc224
1702,4,abc225
1703,7,abc226
1705,4,abc227
1706,10,abc228
1708,2,abc229
1709,5,abc230
1771,10,abc231
1802,2,abc232
1803,80,abc233
1804,37,abc234
1805,61,abc235
1806,15,abc236
1807,7,abc237
1808,9,abc238
1809,9,abc239
1810,6,abc240
1811,3,abc241
1812,10,abc242
1871,69,abc243
1872,6,abc244
1901,26,abc245
1902,29,abc246
1903,11,abc247
1904,9,abc248
1905,3,abc249
1906,6,abc250
1971,33,abc251
2101,20,abc252
2102,27,abc253
2103,1,abc254
2104,8,abc255
2171,399,abc256
2172,26,abc257
3171,57,abc258
3172,285,abc259
3173,94,abc260
3174,394,abc261
3175,490,abc262
3201,738,abc263
3202,251,abc264
3203,96,abc265
3204,1119,abc266
3205,202,abc267
3206,56,abc268
3207,84,abc269
3208,39,abc270
3209,349,abc271
3210,430,abc272
3211,79,abc273
3212,82,abc274
3213,35,abc275
3214,180,abc276
3215,566,abc277
3216,1148,abc278
3217,184,abc279
3218,1,abc280
3271,94,abc281
3272,21,abc282
3273,508,abc283
3274,49,abc284
3275,203,abc285
3276,102,abc286
3277,162,abc287
