area,label,ind,emp,wage
0,Amerika Serikat,Konsumsi Minyak Amerika,19880,
1,Kanada,Konsumsi Minyak Kanada,2428,
2,Meksiko,Konsumsi Minyak Meksiko,1910,
3,Argentina,Konsumsi Minyak Argentina,670,
4,Brazil,Konsumsi Minyak Brazil,3017,
5,Chili,Konsumsi Minyak Chili,383,
6,Kolumbia,Konsumsi Minyak Kolumbia,344,
7,Ekuador,Konsumsi Minyak Ekuador,237,
8,Peru,Konsumsi Minyak Peru,259,
9,Trinidad & Tobago,Konsumsi Minyak Trinidad & Tobago,44,
10,Venezuela,Konsumsi Minyak Venezuela,505,
11,Amerika Tengah,Konsumsi Minyak Amerika Tengah,443,
12,Karibia lainnya,Konsumsi Minyak Karibia lainnya,686,
13,Amerika Selatan lainnya,Konsumsi Minyak Amerika Selatan lainnya,206,
14,Austria,Konsumsi Minyak Austria,268,
15,Belgium,Konsumsi Minyak Belgium,661,
16,Bulgaria,Konsumsi Minyak Bulgaria,100,
17,Kroasia,Konsumsi Minyak Kroasia,66,
18,Siprus,Konsumsi Minyak Siprus,52,
19,Republik Ceko,Konsumsi Minyak Republik Ceko,204,
20,Denmark,Konsumsi Minyak Denmark,165,
21,Estonia,Konsumsi Minyak Estonia,29,
22,Finlandia,Konsumsi Minyak Finlandia,203,
23,Perancis,Konsumsi Minyak Perancis,1615,
24,Jerman,Konsumsi Minyak Jerman,2447,
25,Yunani,Konsumsi Minyak Yunani,314,
26,Hongaria,Konsumsi Minyak Hongaria,167,
27,Islandia,Konsumsi Minyak Islandia,18,
28,Irlandia,Konsumsi Minyak Irlandia,149,
29,Italia,Konsumsi Minyak Italia,1247,
30,Latvia,Konsumsi Minyak Latvia,38,
31,Lithuania,Konsumsi Minyak Lithuania,62,
32,Luksemburg,Konsumsi Minyak Luksemburg,57,
33,Macedonia,Konsumsi Minyak Macedonia,19,
34,Belanda,Konsumsi Minyak Belanda,848,
35,Norway,Konsumsi Minyak Norway,223,
36,Polandia,Konsumsi Minyak Polandia,659,
37,Portugal,Konsumsi Minyak Portugal,256,
38,Rumania,Konsumsi Minyak Rumania,203,
39,Slowakia,Konsumsi Minyak Slowakia,88,
40,Slovenia,Konsumsi Minyak Slovenia,51,
41,Spanyol,Konsumsi Minyak Spanyol,1293,
42,Swedia,Konsumsi Minyak Swedia,320,
43,Swiss,Konsumsi Minyak Swiss,222,
44,Turki,Konsumsi Minyak Turki,1007,
45,Kerajaan Inggris,Konsumsi Minyak Inggris,1598,
46,Eropa lainnya,Konsumsi Minyak Eropa lainnya,332,
47,Azerbaijan,Konsumsi Minyak Azerbaijan,92,
48,Belarus,Konsumsi Minyak Belarus,135,
49,Kazakhstan,Konsumsi Minyak Kazakhstan,311,
50,Federasi Rusia,Konsumsi Minyak Federasi Rusia,3224,
