country_code,latitude,longitude,country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
US,37.09024,-95.712891,United States,5699.2581,5578.6774,5413.4516,4984.3871,5186,5110.5484,5104.4194,5440.0323,5594.9032,6033.0323,7082.5484,7918.0323,9464.9032,9229.2903,8770.8387,10023.5161,10467
RU,61.52401,105.318756,Russia,7545.8323,8518.7226,9017.0323,9681.4452,9823.8194,9871.2774,9871.2774,9776.3613,10179.7548,10369.5871,9989.9226,10108.5677,10084.8387,10084.8387,10274.671,10345.8581,10347.44
SA,23.885942,45.079162,Saudi Arabia,7069,8333,9328,9279,8691,9206,8586,7945,8365,9810,9025,9819,9630,10144,10465,9980,9868
IQ,33.223191,43.679291,Iraq,0,0,0,0,0,2288,2231,2378,2775,2660,2935,3002,3356,4130,4830,4362,4360
IR,32.427908,53.688046,Iran,3244,3741,4020,4060,4004,4120,3865,3560,3545,0,3710,3220,3005,3350,4010,3811,3804
CA,56.130366,-106.346771,Canada,1823.4884,2056.2594,1970.0994,2215.1458,2246.4135,2029.1606,2205.1865,1890.6561,2087.9903,2294.589,2509.2942,2572.0613,2915.5432,3019.769,3206.2174,3496.66,3791.5187
CN,35.86166,104.195397,China,3379.951,3445.3587,3523.0452,3525.4065,3600.9677,3700.1419,3709.5871,3793.4129,4136.5084,4009.471,4235.2103,4226.4735,4326.5923,4286.6865,3960.3561,3774.2865,3784.44
KW,29.31166,47.481766,Kuwait,1747,2060,2449,2612,2641,2587,2500,2275,2320,2952,2988,2940,2800,2930,2844,2701,2705
NG,9.081999,8.675277,Nigeria,1817,2328,2374,2600,2358,2198,2070,2359,2582,2277,2318,2110,2295,2097,1599,1936,1965
MX,23.634501,-102.552784,Mexico,3269.025,3461.85,3234.15,3397.275,2973.15,2949.975,2703.6,2607.0387,2583.0581,2569.8116,2573.009,2524.1342,2357.4116,2275.8774,2041.7806,1881.6813,1897.912
